region_id,datetime_GMT,generation_MW,uncertainty_MW,stats_error,bias_error,lcl_MW,ucl_MW,version_id,version,installedcapacity_MWp,capacity_MWp,site_count,calculation_time_s
0,2017-01-01 00:00:00,0,,,,,,46,0.1.5b,11870,11650,9626,24
0,2017-01-01 00:30:00,0,,,,,,46,0.1.5b,11870,11650,8004,14
0,2017-01-01 01:00:00,0,,,,,,46,0.1.5b,11870,11650,8004,14
0,2017-01-01 01:30:00,0,,,,,,46,0.1.5b,11870,11650,8004,14
0,2017-01-01 02:00:00,0,,,,,,46,0.1.5b,11870,11650,8004,14
0,2017-01-01 02:30:00,0,,,,,,46,0.1.5b,11870,11650,8004,14
0,2017-01-01 03:00:00,0,,,,,,46,0.1.5b,11870,11650,8004,13
0,2017-01-01 03:30:00,0,,,,,,46,0.1.5b,11870,11650,8004,14
0,2017-01-01 04:00:00,0,,,,,,46,0.1.5b,11870,11650,8004,14
0,2017-01-01 04:30:00,0,,,,,,46,0.1.5b,11870,11650,8004,14
0,2017-01-01 05:00:00,0,,,,,,46,0.1.5b,11870,11650,8004,14
0,2017-01-01 05:30:00,0,,,,,,46,0.1.5b,11870,11650,8004,14
0,2017-01-01 06:00:00,0,,,,,,46,0.1.5b,11870,11650,8004,14
0,2017-01-01 06:30:00,0,,,,,,46,0.1.5b,11870,11650,8004,14
0,2017-01-01 07:00:00,0,,,,,,46,0.1.5b,11870,11650,8004,14
0,2017-01-01 07:30:00,0,,,,,,46,0.1.5b,11870,11650,8004,14
0,2017-01-01 08:00:00,0,,,,,,46,0.1.5b,11870,11650,8009,14
0,2017-01-01 08:30:00,0.0882,,1140,,0.0697,0.107,46,0.1.5b,11870,11650,8069,14
0,2017-01-01 09:00:00,10.9,,259,,10.4,11.5,46,0.1.5b,11870,11650,8327,14
0,2017-01-01 09:30:00,48.9,,168,,47.5,50.4,46,0.1.5b,11870,11650,8424,14
0,2017-01-01 10:00:00,114,,133,,112,117,46,0.1.5b,11870,11650,8467,14
0,2017-01-01 10:30:00,195,,123,,190,199,46,0.1.5b,11870,11650,8487,14
0,2017-01-01 11:00:00,287,,117,,281,293,46,0.1.5b,11870,11650,8490,14
0,2017-01-01 11:30:00,418,,119,,409,427,46,0.1.5b,11870,11650,8464,14
0,2017-01-01 12:00:00,610,,134,,595,625,46,0.1.5b,11870,11650,8468,14
0,2017-01-01 12:30:00,726,,144,,708,745,46,0.1.5b,11870,11650,8465,14
0,2017-01-01 13:00:00,732,,134,,714,749,46,0.1.5b,11870,11650,8490,14
0,2017-01-01 13:30:00,643,,138,,627,659,46,0.1.5b,11870,11650,8442,14
0,2017-01-01 14:00:00,624,,154,,607,641,46,0.1.5b,11870,11650,8445,14
0,2017-01-01 14:30:00,397,,125,,388,406,46,0.1.5b,11870,11650,8406,14
0,2017-01-01 15:00:00,339,,139,,330,347,46,0.1.5b,11870,11650,8400,14
0,2017-01-01 15:30:00,247,,175,,239,255,46,0.1.5b,11870,11650,8368,14
0,2017-01-01 16:00:00,130,,247,,124,136,46,0.1.5b,11870,11650,8060,14
0,2017-01-01 16:30:00,20,,272,,19,21,46,0.1.5b,11870,11650,8005,14
0,2017-01-01 17:00:00,0.0886,,1010,,0.0721,0.105,46,0.1.5b,11870,11650,8004,14
0,2017-01-01 17:30:00,0,,,,,,46,0.1.5b,11870,11650,8004,14
0,2017-01-01 18:00:00,0,,,,,,46,0.1.5b,11870,11650,8004,14
0,2017-01-01 18:30:00,0,,,,,,46,0.1.5b,11870,11650,8004,14
0,2017-01-01 19:00:00,0.000245,,8950,,0,0.000648,46,0.1.5b,11870,11650,8004,13
0,2017-01-01 19:30:00,0,,,,,,46,0.1.5b,11870,11650,8004,13
0,2017-01-01 20:00:00,0,,,,,,46,0.1.5b,11870,11650,8004,13
0,2017-01-01 20:30:00,0,,,,,,46,0.1.5b,11870,11650,8004,13
0,2017-01-01 21:00:00,0,,,,,,46,0.1.5b,11870,11650,8004,13
0,2017-01-01 21:30:00,0,,,,,,46,0.1.5b,11870,11650,8004,13
0,2017-01-01 22:00:00,0,,,,,,46,0.1.5b,11870,11650,8004,13
0,2017-01-01 22:30:00,0,,,,,,46,0.1.5b,11870,11650,8004,13
0,2017-01-01 23:00:00,0,,,,,,46,0.1.5b,11870,11650,8004,14
0,2017-01-01 23:30:00,0,,,,,,46,0.1.5b,11870,11650,8004,14
0,2017-01-02 00:00:00,0,,,,,,46,0.1.5b,11870,11650,8005,16
0,2017-01-02 00:30:00,0,,,,,,46,0.1.5b,11870,11650,10225,22
0,2017-01-02 01:00:00,0,,,,,,46,0.1.5b,11870,11650,10225,23
0,2017-01-02 01:30:00,0,,,,,,46,0.1.5b,11870,11650,10225,23
0,2017-01-02 02:00:00,0,,,,,,46,0.1.5b,11870,11650,10225,23
0,2017-01-02 02:30:00,0,,,,,,46,0.1.5b,11870,11650,10225,22
0,2017-01-02 03:00:00,0,,,,,,46,0.1.5b,11870,11650,10225,23
0,2017-01-02 03:30:00,0,,,,,,46,0.1.5b,11870,11650,10225,23
0,2017-01-02 04:00:00,0,,,,,,46,0.1.5b,11870,11650,10225,23
0,2017-01-02 04:30:00,0,,,,,,46,0.1.5b,11870,11650,10225,23
0,2017-01-02 05:00:00,0,,,,,,46,0.1.5b,11870,11650,10225,23
0,2017-01-02 05:30:00,0,,,,,,46,0.1.5b,11870,11650,10225,23
0,2017-01-02 06:00:00,0,,,,,,46,0.1.5b,11870,11650,10225,23
0,2017-01-02 06:30:00,0,,,,,,46,0.1.5b,11870,11650,10225,23
0,2017-01-02 07:00:00,0,,,,,,46,0.1.5b,11870,11650,10225,22
0,2017-01-02 07:30:00,0,,,,,,46,0.1.5b,11870,11650,10225,23
0,2017-01-02 08:00:00,0.00703,,8640,,0,0.0169,46,0.1.5b,11870,11650,10234,23
0,2017-01-02 08:30:00,2.64,,494,,2.43,2.85,46,0.1.5b,11870,11650,10384,23
0,2017-01-02 09:00:00,133,,182,,130,137,46,0.1.5b,11870,11650,10677,23
0,2017-01-02 09:30:00,704,,115,,691,717,46,0.1.5b,11870,11650,10679,23
0,2017-01-02 10:00:00,1600,,84.5,,1580,1620,46,0.1.5b,11870,11650,10669,24
0,2017-01-02 10:30:00,2480,,69.7,,2460,2510,46,0.1.5b,11870,11650,10675,24
0,2017-01-02 11:00:00,3240,,60.2,,3210,3270,46,0.1.5b,11870,11650,10656,24
0,2017-01-02 11:30:00,3810,,53.8,,3780,3850,46,0.1.5b,11870,11650,10665,24
0,2017-01-02 12:00:00,4160,,50.8,,4130,4200,46,0.1.5b,11870,11650,10655,23
0,2017-01-02 12:30:00,4370,,48.3,,4330,4400,46,0.1.5b,11870,11650,10667,22
0,2017-01-02 13:00:00,4350,,47.6,,4310,4380,46,0.1.5b,11870,11650,10666,23
0,2017-01-02 13:30:00,4100,,50,,4070,4130,46,0.1.5b,11870,11650,10677,23
0,2017-01-02 14:00:00,3600,,56.3,,3570,3640,46,0.1.5b,11870,11650,10673,23
0,2017-01-02 14:30:00,3070,,62.4,,3040,3100,46,0.1.5b,11870,11650,10673,23
0,2017-01-02 15:00:00,2310,,72.9,,2280,2340,46,0.1.5b,11870,11650,10672,23
0,2017-01-02 15:30:00,1450,,90.8,,1430,1470,46,0.1.5b,11870,11650,10677,23
0,2017-01-02 16:00:00,589,,129,,577,601,46,0.1.5b,11870,11650,10597,23
0,2017-01-02 16:30:00,90.6,,192,,87.8,93.4,46,0.1.5b,11870,11650,10249,23
0,2017-01-02 17:00:00,2.87,,441,,2.66,3.08,46,0.1.5b,11870,11650,10228,22
0,2017-01-02 17:30:00,0.0234,,6220,,0,0.047,46,0.1.5b,11870,11650,10225,22
0,2017-01-02 18:00:00,0.0193,,7350,,0,0.0423,46,0.1.5b,11870,11650,10225,22
0,2017-01-02 18:30:00,0.0738,,5590,,0.00669,0.141,46,0.1.5b,11870,11650,10225,23
0,2017-01-02 19:00:00,0.0122,,7010,,0,0.0262,46,0.1.5b,11870,11650,10225,22
0,2017-01-02 19:30:00,0.0162,,6800,,0,0.0342,46,0.1.5b,11870,11650,10225,23
0,2017-01-02 20:00:00,0.00341,,7280,,0,0.00745,46,0.1.5b,11870,11650,10225,22
0,2017-01-02 20:30:00,0.00149,,10100,,0,0.00395,46,0.1.5b,11870,11650,10225,21
0,2017-01-02 21:00:00,0,,,,,,46,0.1.5b,11870,11650,10225,22
0,2017-01-02 21:30:00,0,,,,,,46,0.1.5b,11870,11650,10225,22
0,2017-01-02 22:00:00,0,,,,,,46,0.1.5b,11870,11650,10225,23
0,2017-01-02 22:30:00,0,,,,,,46,0.1.5b,11870,11650,10225,23
0,2017-01-02 23:00:00,0,,,,,,46,0.1.5b,11870,11650,10225,22
0,2017-01-02 23:30:00,0.00146,,10100,,0,0.00387,46,0.1.5b,11870,11650,10225,22
0,2017-01-03 00:00:00,0,,,,,,46,0.1.5b,11870,11650,10225,24
0,2017-01-03 00:30:00,0,,,,,,46,0.1.5b,11870,11650,10088,25
0,2017-01-03 01:00:00,0,,,,,,46,0.1.5b,11870,11650,10088,24
0,2017-01-03 01:30:00,0,,,,,,46,0.1.5b,11870,11650,10088,25
0,2017-01-03 02:00:00,0,,,,,,46,0.1.5b,11870,11650,10088,24
0,2017-01-03 02:30:00,0,,,,,,46,0.1.5b,11870,11650,10088,25
0,2017-01-03 03:00:00,0,,,,,,46,0.1.5b,11870,11650,10088,24
0,2017-01-03 03:30:00,0,,,,,,46,0.1.5b,11870,11650,10088,25
0,2017-01-03 04:00:00,0,,,,,,46,0.1.5b,11870,11650,10088,24
0,2017-01-03 04:30:00,0,,,,,,46,0.1.5b,11870,11650,10088,24
